customer_id,recency,frequency,monetary,segment_group
1,41,3,27888.179,very_loyal
2,264,3,19329.076999999997,loyal
3,69,3,24051.541,very_loyal
4,255,3,21150.882999999998,loyal
5,256,3,17520.286,loyal
6,114,3,32675.064,loyal
7,195,3,7147.161,loyal
8,261,3,2201.6530000000002,regular
9,246,3,24433.896,loyal
10,128,3,33634.267,loyal
11,247,3,3690.2349999999997,regular
12,250,3,24305.132999999998,loyal
13,261,3,14774.453,loyal
14,251,3,15766.692,loyal
15,126,3,9586.794,loyal
16,264,3,31925.877,loyal
17,256,3,5275.325,loyal
18,259,3,14877.280999999999,loyal
19,259,3,16740.012,loyal
20,261,3,11102.466,loyal
21,245,3,17123.994,loyal
22,265,2,16651.059999999998,loyal
23,272,2,4775.960999999999,loyal
24,250,3,14199.951,loyal
25,264,2,14529.251,loyal
26,262,2,9514.068,loyal
27,272,2,10719.092,loyal
28,260,2,19992.856,loyal
29,251,2,11979.940999999999,loyal
30,255,3,10355.389,loyal
31,267,3,19756.634,loyal
32,263,3,18037.283,loyal
33,171,3,19043.896,loyal
34,259,2,11035.751,loyal
35,271,2,22061.064,loyal
36,258,2,6079.9400000000005,loyal
37,261,2,14011.815999999999,loyal
38,261,2,21535.663,loyal
39,256,2,17783.483,loyal
40,246,3,17240.554,loyal
41,269,2,3962.027,loyal
42,253,2,9205.114,loyal
43,244,3,23049.053,loyal
44,248,2,2270.54,regular
45,245,2,3347.6440000000002,regular
46,252,3,8902.502,loyal
47,262,3,16935.628,loyal
48,250,2,11705.844000000001,loyal
49,244,2,1571.176,regular
50,261,3,16179.132,loyal
51,271,2,7000.052,loyal
52,267,2,6467.6539999999995,loyal
53,170,3,14068.225,loyal
54,251,2,17225.453,loyal
55,243,2,4183.62,loyal
56,245,3,6680.442999999999,loyal
57,253,2,6981.93,loyal
58,257,2,21514.449999999997,loyal
59,261,2,13854.596,loyal
60,252,2,9919.324,loyal
61,263,3,25636.430999999997,loyal
62,272,2,4122.143,loyal
63,254,2,20086.362999999998,loyal
64,269,3,8778.130000000001,loyal
65,253,2,11151.601,loyal
66,262,3,23026.283,loyal
67,256,2,1472.473,regular
68,264,3,10802.626999999999,loyal
69,268,2,7568.923,loyal
70,256,2,16338.932999999999,loyal
71,245,2,1855.3319999999999,regular
72,252,2,13914.331999999999,loyal
73,256,2,31913.703999999998,loyal
74,243,2,4036.9709999999995,loyal
75,265,2,32803.013,loyal
76,257,2,7168.473,loyal
77,253,3,8522.953,loyal
78,261,2,3441.2619999999997,regular
79,258,2,16025.062,loyal
80,251,2,9563.335,loyal
81,267,2,5660.9349999999995,loyal
82,269,2,18995.006999999998,loyal
83,267,2,7793.147999999999,loyal
84,271,2,7154.543,loyal
85,265,2,23195.065,loyal
86,268,2,12551.983,loyal
87,263,2,13546.945,loyal
88,253,2,9805.241999999998,loyal
89,252,2,10805.332,loyal
90,244,2,8956.783,loyal
91,256,2,18856.872,loyal
92,265,2,3037.134,regular
93,250,2,25612.69,loyal
94,272,2,34807.932,loyal
95,640,1,12433.475,regular
96,749,1,7681.119999999999,regular
97,262,2,6450.950999999999,loyal
98,980,1,2546.462,regular
99,993,1,5431.891,regular
100,307,1,5399.98,loyal
101,829,1,1405.962,regular
102,753,1,3121.132,regular
103,851,1,2718.3920000000003,regular
104,249,2,11776.404999999999,loyal
105,968,1,12461.544,regular
106,499,1,2770.9610000000002,regular
107,936,1,6961.09,regular
108,380,1,18281.491,loyal
109,247,2,17193.89,loyal
110,260,2,5371.3369999999995,loyal
111,799,1,6177.77,regular
112,274,1,7952.044,loyal
113,400,1,4236.341,loyal
114,275,1,727.9839999999999,regular
115,335,1,8327.942,loyal
116,258,3,12793.631,loyal
117,992,2,2371.4539999999997,regular
118,738,1,3974.624,regular
119,172,2,16764.144,loyal
120,267,2,9425.163,loyal
121,254,2,3589.12,regular
122,338,1,24890.642,loyal
123,181,2,13783.775,loyal
124,250,2,6235.536,loyal
125,524,1,7067.960999999999,regular
126,297,1,10314.9227,loyal
127,973,1,6034.959999999999,regular
128,390,1,7536.161,loyal
129,566,1,3011.4809999999998,regular
130,734,1,423.992,regular
131,738,1,2335.52,regular
132,865,1,3271.812,regular
133,917,1,3810.8199999999997,regular
134,984,1,3751.871,regular
135,31,2,12026.936,loyal
136,1,2,15314.006,loyal
137,668,1,723.891,regular
138,246,2,12010.488,loyal
139,282,1,2319.9700000000003,regular
140,504,1,12909.918,regular
141,660,1,376.792,regular
142,561,1,5224.99,regular
143,474,1,3920.661,regular
144,855,1,256.491,regular
145,941,1,8696.071,regular
146,316,1,6183.562,loyal
147,671,1,10322.97,regular
148,809,1,1260.972,regular
149,833,1,8474.161,regular
150,941,1,3840.88,regular
151,267,2,6863.624999999999,loyal
152,278,1,3643.542,regular
153,637,2,17068.486,regular
154,646,1,751.984,regular
155,801,1,4214.973,regular
156,901,1,4534.382,regular
157,247,2,17861.196,loyal
158,913,1,1395.162,regular
159,920,1,11013.931,regular
160,762,1,7975.972,regular
161,518,1,4296.181,regular
162,613,1,4094.841,regular
163,732,1,4851.136,regular
164,1069,1,1139.98,lost
165,246,2,11907.902,loyal
166,668,1,751.984,regular
167,563,1,14172.237000000001,regular
168,527,1,3801.643,regular
169,256,2,13678.354,loyal
170,256,2,13801.291,loyal
171,593,1,3723.825,regular
172,255,2,15841.113,loyal
173,684,1,8072.33,regular
174,528,1,2963.98,regular
175,262,2,13023.919999999998,loyal
176,247,2,6829.706999999999,loyal
177,616,1,170.991,regular
178,765,1,4125.552,regular
179,586,1,5887.34,regular
180,273,1,2478.4,regular
181,270,2,8273.954,loyal
182,501,1,17746.59,regular
183,981,1,1254.94,regular
184,670,1,16436.08,regular
185,509,1,3290.7709999999997,regular
186,438,1,9833.653,regular
187,257,2,13611.646,loyal
188,248,2,1729.773,regular
189,505,1,2069.37,regular
190,717,1,2082.1440000000002,regular
191,249,2,2593.128,regular
192,252,2,14208.385999999999,loyal
193,810,1,914.967,regular
194,270,2,12320.116999999998,loyal
195,296,1,14935.020999999999,loyal
196,599,1,10949.944,regular
197,825,1,4655.035,regular
198,500,1,2749.3469999999998,regular
199,861,1,4571.071,regular
200,681,1,391.992,regular
201,432,1,2548.974,regular
202,914,1,4095.011,regular
203,357,1,12369.623,loyal
204,1035,1,2813.559,lost
205,999,1,3642.012,regular
206,948,1,8429.939999999999,regular
207,684,1,2500.438,regular
208,266,2,5651.025,loyal
209,506,1,1127.99,regular
210,417,1,3599.99,regular
211,901,1,1472.48,regular
212,776,1,6155.959999999999,regular
213,428,1,4789.733,regular
214,600,1,3032.739,regular
215,580,1,4397.9619999999995,regular
216,441,1,4912.151,regular
217,270,2,5073.035,loyal
218,1036,1,6902.46,lost
219,535,1,1567.172,regular
220,495,1,6672.2919999999995,regular
221,634,1,199.992,regular
222,429,1,1497.483,regular
223,944,1,4563.09,regular
224,250,2,11471.894,loyal
225,499,1,7486.325,regular
226,420,1,13033.592,regular
227,393,1,18553.720999999998,loyal
228,286,1,674.991,regular
229,436,1,814.671,regular
230,905,1,9211.521,regular
231,247,2,12861.873,loyal
232,665,1,1755.3700000000001,regular
233,260,2,2317.084,regular
234,639,1,3804.915,regular
235,804,1,5989.964,regular
236,1073,1,4157.971,lost
237,265,2,2007.5810000000001,regular
238,553,1,20177.761,regular
239,244,2,10156.891,loyal
240,248,2,9959.09,loyal
241,819,1,2157.916,regular
242,578,1,7143.661999999999,regular
243,416,1,2658.7619999999997,regular
244,366,1,1113.2649999999999,regular
245,699,1,10869.96,regular
246,629,1,6261.956,regular
247,348,1,10570.47,loyal
248,556,1,1101.683,regular
249,651,1,723.891,regular
250,700,1,2371.161,regular
251,999,1,8879.451,regular
252,1075,1,8587.393,lost
253,342,1,1439.98,regular
254,464,1,1716.5520000000001,regular
255,665,1,10269.851999999999,regular
256,357,1,2658.1440000000002,regular
257,377,1,5315.903,loyal
258,1085,1,437.091,lost
259,1093,1,10231.042,lost
260,809,1,3349.645,regular
261,848,1,1837.471,regular
262,390,1,2484.426,regular
263,289,1,14405.042,loyal
264,1050,1,1577.071,lost
265,567,1,1096.182,regular
266,532,1,2681.955,regular
267,962,1,1625.962,regular
268,484,1,7211.721,regular
269,434,1,7526.036,regular
270,554,1,3646.982,regular
271,1033,1,879.984,lost
272,839,1,8561.256,regular
273,363,1,3056.96,regular
274,888,1,5701.103,regular
275,472,1,11476.532,regular
276,1042,1,6866.936,lost
277,1057,1,3570.551,lost
278,562,1,5226.661999999999,regular
279,387,1,9327.732,loyal
280,972,1,4616.012,regular
281,907,1,5672.280000000001,regular
282,931,1,9163.428,regular
283,719,1,1172.972,regular
284,662,1,1001.612,regular
285,384,1,613.791,regular
286,452,1,1026.7,regular
287,284,1,2320.556,regular
288,1006,1,4765.423,lost
289,407,1,17834.96,regular
290,525,1,1467.955,regular
291,700,1,1600.093,regular
292,446,1,13947.542,regular
293,301,1,6102.960999999999,loyal
294,632,1,1208.482,regular
295,684,1,11055.93,regular
296,285,1,13773.623,loyal
297,706,1,3658.1800000000003,regular
298,767,1,9474.934,regular
299,899,1,2687.141,regular
300,300,1,1023.98,regular
301,634,1,4156.692,regular
302,274,1,631.675,regular
303,413,1,3136.0429999999997,regular
304,818,1,502.181,regular
305,495,1,1238.566,regular
306,1031,1,6489.5599999999995,lost
307,956,1,2942.9809999999998,regular
308,293,1,7394.9619999999995,loyal
309,748,1,3900.6549999999997,regular
310,340,1,12935.939999999999,loyal
311,369,1,1250.864,regular
312,333,1,5419.97,loyal
313,785,1,4918.365,regular
314,834,1,6872.942,regular
315,638,1,2258.1220000000003,regular
316,1015,1,6815.946,lost
317,1043,1,1543.762,lost
318,432,1,1662.054,regular
319,917,1,2337.4610000000002,regular
320,391,1,10047.42,loyal
321,783,1,1165.0810000000001,regular
322,378,1,11832.47,loyal
323,323,1,2699.99,regular
324,1090,1,2165.0820000000003,lost
325,504,1,949.99,regular
326,491,1,2768.362,regular
327,1020,1,5716.596,lost
328,551,1,8740.961,regular
329,620,1,9499.98,regular
330,286,1,11972.921999999999,loyal
331,861,1,1929.514,regular
332,1005,1,5728.933,lost
333,412,1,2840.045,regular
334,477,1,12663.974,regular
335,664,1,4147.66,regular
336,1032,1,754.582,lost
337,865,1,5119.353,regular
338,995,1,4132.99,regular
339,561,1,17479.949999999997,regular
340,641,1,9157.75,regular
341,787,1,1199.98,regular
342,582,1,269.991,regular
343,695,1,1800.48,regular
344,708,1,4464.6630000000005,regular
345,587,1,9728.98,regular
346,413,1,502.191,regular
347,712,1,225.891,regular
348,1067,1,3223.18,lost
349,711,1,6912.17,regular
350,929,1,11462.592,regular
351,466,1,8498.46,regular
352,588,1,5925.552,regular
353,524,1,3196.203,regular
354,534,1,7179.981,regular
355,561,1,3015.9700000000003,regular
356,524,1,9865.471,regular
357,1000,1,1970.591,lost
358,606,1,3247.2439999999997,regular
359,846,1,1990.161,regular
360,913,1,6448.289999999999,regular
361,704,1,5154.1449999999995,regular
362,831,1,3997.973,regular
363,963,1,242.991,regular
364,300,1,5291.96,loyal
365,769,1,1758.5140000000001,regular
366,1007,1,6744.7699999999995,lost
367,654,1,6602.947,regular
368,856,1,751.984,regular
369,441,1,1536.121,regular
370,1011,1,521.982,lost
371,1001,1,1619.99,lost
372,623,1,6578.965,regular
373,869,1,949.981,regular
374,645,1,14735.411999999998,regular
375,405,1,11391.423999999999,regular
376,589,1,2136.531,regular
377,802,1,755.972,regular
378,921,1,464.991,regular
379,487,1,6671.601,regular
380,696,1,2787.959,regular
381,1053,1,888.281,lost
382,681,1,861.012,regular
383,710,1,17305.952,regular
384,593,1,8096.442999999999,regular
385,1047,1,2427.957,lost
386,603,1,4012.643,regular
387,399,1,1367.982,regular
388,479,1,418.491,regular
389,557,1,877.981,regular
390,981,1,7439.98,regular
391,667,1,269.991,regular
392,273,1,1681.974,regular
